Generation,BestFitness,AvgFitness,globalBestFitness,WorstFitness
1,-50.05,-50.09, -50.05,-50.10
2,-49.53,-50.04, -49.53,-50.10
3,11.24,-31.23, 11.24,-50.10
4,5515.65,306.69, 5515.65,0.00
5,22.66,-19.25, 5515.65,-50.10
6,509.32,15.55, 5515.65,-50.10
7,18.99,-25.31, 5515.65,-50.10
8,1500.00,82.64, 5515.65,-50.10
9,1003.11,19.09, 5515.65,-50.10
10,509.17,30.45, 5515.65,-50.10
11,20.91,-24.31, 5515.65,-50.10
12,17.87,-11.58, 5515.65,-50.10
13,501.40,15.93, 5515.65,-50.10
14,502.13,10.67, 5515.65,-50.10
15,23.28,-7.03, 5515.65,-50.10
16,22.59,-21.96, 5515.65,-50.10
17,2003.94,88.20, 5515.65,-50.10
18,5523.58,377.91, 5523.58,-50.10
19,20.10,-38.07, 5523.58,-50.10
20,5521.82,272.12, 5523.58,-50.10
21,3003.13,219.70, 5523.58,-50.10
22,5523.02,334.56, 5523.58,-50.10
23,1000.00,47.62, 5523.58,-50.10
24,459.74,-2.78, 5523.58,-50.10
25,20.04,-29.83, 5523.58,-50.10
26,1500.79,56.77, 5523.58,-50.10
27,503.17,40.18, 5523.58,-50.10
28,1501.08,39.76, 5523.58,-50.10
29,500.00,-6.18, 5523.58,-50.10
30,510.44,33.41, 5523.58,-50.10
31,5521.95,384.12, 5523.58,-50.10
32,501.53,6.11, 5523.58,-50.10
33,5520.19,529.20, 5523.58,-50.10
34,3006.48,256.87, 5523.58,-50.10
35,2503.08,252.19, 5523.58,-50.10
36,500.00,2.01, 5523.58,-50.10
37,1502.57,61.43, 5523.58,-50.10
38,1503.65,98.42, 5523.58,-50.10
39,500.86,-3.14, 5523.58,-50.10
40,3454.93,198.90, 5523.58,-50.10
41,22.73,-28.24, 5523.58,-50.10
42,1011.81,46.72, 5523.58,-50.10
43,500.00,42.42, 5523.58,-50.10
44,500.00,-3.51, 5523.58,-50.10
45,960.86,12.01, 5523.58,-50.10
46,3508.11,258.52, 5523.58,-50.10
47,500.47,76.80, 5523.58,-50.10
48,14.27,-31.83, 5523.58,-50.10
49,501.43,20.60, 5523.58,-50.10
50,500.00,17.91, 5523.58,-50.10
51,500.00,1.41, 5523.58,-50.10
52,500.00,26.43, 5523.58,-50.10
53,1008.19,83.60, 5523.58,-50.10
54,1501.04,64.87, 5523.58,-50.10
55,5517.82,241.43, 5523.58,-50.10
56,19.91,-26.59, 5523.58,-50.10
57,1505.18,140.75, 5523.58,-50.10
58,502.14,-8.70, 5523.58,-50.10
59,14.91,-31.00, 5523.58,-50.10
60,507.27,-9.23, 5523.58,-50.10
61,23.33,-30.63, 5523.58,-50.10
62,5519.44,391.17, 5523.58,-50.10
63,500.00,-1.49, 5523.58,-50.10
64,5520.83,388.34, 5523.58,-50.10
65,1008.93,19.42, 5523.58,-50.10
66,5518.66,279.00, 5523.58,-50.10
67,5519.05,246.03, 5523.58,-50.10
68,5523.28,347.90, 5523.58,-50.10
69,1001.63,45.36, 5523.58,-50.10
70,504.28,49.58, 5523.58,-50.10
71,1004.28,76.58, 5523.58,-50.10
72,1506.51,43.89, 5523.58,-50.10
73,1507.59,127.12, 5523.58,-50.10
74,5523.98,328.31, 5523.98,-50.10
75,5523.98,1122.77, 5523.98,-50.01
76,3003.82,256.42, 5523.98,-50.10
77,5523.93,278.16, 5523.98,-50.10
78,506.29,10.57, 5523.98,-50.10
79,5524.05,382.29, 5524.05,-50.10
80,449.90,7.67, 5524.05,-50.08
81,5523.07,418.05, 5524.05,-50.10
82,1506.53,57.81, 5524.05,-50.10
83,5523.70,507.87, 5524.05,-50.10
