Generation,BestFitness,AvgFitness,WorstFitness
1,0.00,-47.58,-50.10
2,2.78,-42.14,-50.10
3,4.39,-35.98,-50.10
4,10.04,-38.83,-50.10
5,12.86,-35.67,-50.10
6,500.43,5.06,-50.10
7,500.46,-4.47,-50.10
8,1000.12,53.30,-50.10
9,1503.98,113.48,-50.09
10,2500.00,209.15,-50.10
11,507.46,7.72,-50.10
12,1008.85,55.10,-50.10
13,2012.62,100.20,-50.10
14,2449.90,241.11,-50.10
15,2007.38,166.75,-50.10
16,1506.11,158.66,-50.10
17,1949.90,84.09,-50.10
18,500.31,10.53,-50.10
19,2003.42,144.49,-50.08
20,509.32,59.22,-50.04
21,1007.63,87.69,-50.09
22,505.30,42.52,-50.10
23,27.56,-14.96,-50.09
24,510.59,14.42,-50.10
25,1011.25,89.82,-50.10
26,508.74,12.90,-50.10
27,500.00,11.98,-50.10
28,18.79,-18.76,-50.10
29,503.05,11.18,-50.10
30,1002.81,43.09,-49.96
31,508.10,37.99,-50.10
32,25.51,-12.96,-50.10
33,954.02,29.47,-50.07
34,20.15,-19.39,-50.10
35,22.05,-4.49,-50.10
36,500.00,47.76,-50.05
37,1500.00,72.35,-50.10
38,21.29,-15.50,-50.10
39,1006.79,91.89,-50.10
40,500.00,6.47,-50.09
41,17.64,-15.48,-50.10
42,505.79,10.56,-50.08
43,1949.99,79.39,-50.10
44,502.74,-2.09,-50.10
45,500.00,5.19,-50.10
46,1950.18,214.80,-50.10
47,1003.36,50.65,-50.10
48,505.01,13.64,-49.96
49,1952.74,137.92,-50.00
50,32.31,-9.10,-50.10
51,17.37,-19.94,-50.10
52,20.82,-16.36,-50.10
53,500.00,29.17,-50.10
54,449.90,7.83,-50.10
55,959.80,31.48,-50.10
56,1004.65,104.74,-50.06
57,1009.08,60.04,-50.10
58,500.00,1.80,-50.10
59,1004.87,32.19,-50.10
60,508.27,50.25,-50.10
61,1503.47,136.60,-50.10
62,1003.84,41.09,-50.10
63,512.77,36.44,-50.10
64,1010.35,145.95,-49.08
65,1504.24,139.62,-50.10
66,507.69,46.34,-49.73
67,501.45,-0.19,-50.10
68,18.89,-10.22,-50.10
69,1500.29,89.83,-49.70
70,1011.14,90.47,-50.10
71,1000.00,56.04,-50.10
72,1500.20,141.42,-50.10
73,1500.52,144.66,-50.10
74,503.47,6.09,-50.10
75,503.51,29.32,-50.10
76,23.18,-10.94,-50.10
77,1009.78,33.58,-50.10
78,1001.63,31.56,-50.10
79,509.82,12.62,-50.08
80,2500.00,210.22,-50.08
81,1004.71,35.31,-50.10
82,507.36,65.07,-50.10
83,501.32,-1.23,-50.10
84,1008.00,127.66,-50.10
85,1009.12,111.23,-50.10
86,2000.50,83.82,-50.10
87,22.05,-13.36,-50.10
88,1507.97,77.18,-50.10
89,506.47,14.61,-48.49
90,2000.00,106.06,-49.97
91,958.32,55.08,-50.10
92,950.87,78.15,-50.10
93,1003.76,87.36,-50.10
94,1010.47,127.66,-50.00
95,1009.63,110.94,-50.03
96,1001.05,79.57,-50.10
97,505.64,10.08,-50.10
98,449.90,-2.30,-50.10
99,2008.81,95.58,-50.10
100,503.35,53.54,-50.10
101,18.90,-32.29,-50.10
102,3006.10,127.75,-50.09
103,1003.46,49.21,-50.10
104,1008.21,151.08,-50.10
105,514.97,33.85,-50.09
106,18.66,-24.19,-50.10
107,18.23,-23.45,-50.10
108,19.13,-18.53,-50.10
109,18.82,-1.86,-50.05
110,22.19,-13.47,-50.10
111,500.68,36.32,-50.10
112,24.98,-14.24,-50.10
113,23.30,-16.38,-50.10
114,23.64,-12.50,-50.10
115,1508.73,45.16,-50.10
116,501.04,-4.85,-50.10
117,1008.21,39.53,-50.10
118,1508.46,66.95,-50.10
119,1012.15,36.51,-50.10
120,503.19,31.74,-50.10
121,1951.44,84.21,-50.10
122,1513.18,137.41,-50.10
123,500.47,59.05,-50.10
124,2009.87,144.27,-50.09
125,1508.71,179.52,-50.10
126,20.78,-22.49,-50.10
127,2011.89,172.41,-50.10
128,16.40,-23.88,-50.10
129,22.07,-25.00,-50.10
130,3002.26,185.29,-50.10
131,1008.08,71.61,-50.10
132,3019.59,233.15,-50.10
133,1008.95,60.91,-50.10
134,1514.69,50.84,-50.10
135,24.33,-8.66,-49.96
136,16.74,-15.83,-50.10
137,23.26,-10.78,-50.10
138,1500.00,72.93,-50.10
139,24.30,-16.79,-50.10
140,1505.97,103.96,-50.10
141,1507.58,83.01,-50.10
142,1513.27,59.73,-50.10
143,1500.23,94.97,-50.10
144,1012.04,84.10,-50.10
145,1449.90,122.91,-50.10
146,2503.20,239.56,-50.10
147,2506.58,183.43,-50.10
148,1007.26,135.51,-50.10
149,1955.36,290.96,-50.10
150,19.46,-18.21,-50.10
151,24.67,-12.96,-50.10
152,957.88,62.57,-50.10
153,1949.90,227.11,-50.10
154,18.55,-20.55,-50.10
155,501.48,3.16,-50.10
156,508.69,7.69,-50.05
157,26.62,-15.54,-50.10
158,20.25,-21.29,-50.10
159,1949.90,104.79,-50.10
160,1003.44,82.64,-50.10
161,1012.91,42.01,-49.99
162,21.78,-10.65,-50.10
163,19.98,-6.98,-50.10
164,502.73,4.03,-50.10
165,2000.00,105.08,-50.10
166,1511.85,102.59,-50.10
167,21.85,-17.89,-50.10
168,500.03,30.77,-50.10
169,29.75,-12.53,-50.10
170,14.30,-21.60,-50.10
171,501.36,6.65,-50.10
172,506.74,31.75,-50.08
173,950.19,75.77,-50.10
174,950.24,19.33,-50.09
175,950.44,20.33,-50.10
176,962.09,65.50,-50.10
177,22.78,-16.15,-50.10
178,950.10,24.41,-50.10
179,19.06,-16.23,-50.10
180,2006.50,174.09,-50.10
181,500.65,17.05,-50.10
182,2006.45,76.13,-50.10
183,1502.65,55.70,-50.08
184,959.95,29.56,-50.10
185,2454.78,268.00,-49.53
186,20.31,-12.69,-50.10
187,1501.40,120.40,-50.10
188,500.75,18.52,-48.60
189,1508.91,107.89,-50.10
190,2449.90,214.50,-49.50
191,2000.86,131.17,-50.10
192,1500.00,73.47,-50.10
193,1007.85,85.78,-50.10
194,449.90,7.15,-50.10
195,1949.90,72.01,-50.10
196,1005.02,50.62,-50.10
197,1009.41,97.47,-50.10
198,1952.78,229.08,-50.10
199,2002.15,132.89,-50.10
200,1502.53,190.72,-50.10
201,2005.55,338.95,-50.10
202,2001.00,315.39,-50.10
203,17.20,-15.52,-50.10
204,501.01,11.09,-50.10
205,500.00,3.44,-50.10
206,26.17,-20.22,-50.09
207,25.79,-4.01,-49.99
208,21.27,-6.81,-50.08
209,500.00,5.25,-50.10
210,500.00,14.98,-50.10
211,500.00,6.34,-50.10
212,500.00,31.45,-50.10
213,28.05,-13.66,-49.96
214,500.00,2.74,-50.10
215,1006.90,61.84,-50.05
216,2005.68,75.29,-50.10
217,505.68,6.47,-50.10
