Generation,BestFitness,AvgFitness,WorstFitness
1,-48.59,-50.02,-50.10
2,11.04,-23.90,-50.10
3,23.08,-22.50,-50.10
4,1500.00,39.95,-50.10
5,18.80,-27.19,-50.10
6,1000.00,20.66,-50.10
7,16.29,-20.90,-50.10
8,1000.00,9.14,-50.10
9,1001.79,71.02,-50.10
10,11.73,-27.88,-50.10
11,20.90,-26.83,-50.10
12,503.70,-9.93,-50.10
13,1949.90,141.65,-50.10
14,1949.90,171.83,-50.10
15,1949.90,68.74,-50.10
16,2000.43,179.02,-50.10
17,24.92,-22.32,-50.10
18,510.26,-1.04,-50.10
19,505.25,10.07,-50.10
20,1502.60,47.77,-50.10
21,18.37,-27.61,-50.10
22,1456.89,48.71,-50.10
23,501.08,-5.06,-50.10
24,16.48,-33.59,-50.10
25,510.26,-8.30,-50.10
26,3.93,-36.43,-50.10
27,17.31,-32.60,-50.10
28,1006.96,49.97,-50.10
29,19.14,-30.26,-50.10
30,24.09,-17.94,-50.10
31,503.88,17.78,-50.10
32,506.18,-9.54,-50.10
33,24.81,-28.73,-50.10
34,6.90,-27.71,-50.10
35,25.50,-33.30,-50.10
36,23.99,-30.80,-50.10
37,506.41,-8.30,-50.10
38,1004.32,24.39,-50.10
39,510.44,17.48,-50.10
40,18.82,-21.29,-50.10
41,500.88,-4.50,-50.10
42,26.51,-42.25,-50.10
43,17.00,-33.41,-50.10
44,510.41,0.92,-50.10
45,17.54,-27.09,-50.10
46,19.46,-31.90,-50.10
47,19.33,-40.31,-50.10
48,15.42,-31.46,-50.10
49,500.00,0.53,-50.10
50,21.14,-25.79,-50.10
51,510.89,-1.92,-50.10
52,460.41,-6.48,-50.10
53,25.67,-22.63,-50.10
54,18.01,-30.74,-50.10
55,18.10,-31.69,-50.10
56,26.10,-39.00,-50.10
57,21.77,-32.52,-50.10
58,17.04,-35.60,-50.10
59,2449.90,92.97,-50.10
60,1504.27,43.33,-50.10
61,2449.90,248.04,-50.10
62,2449.90,216.17,-50.10
63,1009.44,33.14,-50.10
64,2002.25,166.09,-50.10
65,21.58,-29.97,-50.10
66,2449.90,116.57,-50.10
67,2449.90,170.84,-50.10
68,2449.90,92.02,-50.10
69,2002.69,156.26,-50.10
70,1008.40,29.18,-50.10
71,507.98,-0.39,-50.10
72,1007.98,78.33,-50.10
73,2500.00,147.51,-50.10
74,22.12,-32.98,-50.10
75,2500.00,198.90,-50.10
76,2500.00,90.09,-50.10
77,14.23,-28.05,-50.10
78,2006.71,75.30,-50.10
79,1512.93,61.25,-50.10
80,22.20,-36.70,-50.10
81,512.53,-14.18,-50.10
82,2013.32,66.01,-50.10
83,504.39,28.82,-50.10
